activity_id,category_id
1,1
1,6
2,1
2,6
3,1
3,6
4,1
5,1
5,4
6,3
6,4
7,4
8,2
8,4
9,2
9,4
10,2
10,4
11,2
11,4
12,2
12,4
13,1
13,2
13,4
14,2
14,4
15,2
15,4
16,2
17,6
18,5
18,6
18,9
19,6
19,9
20,4
20,6
20,9
21,5
21,6
21,9
22,7
23,7
24,7
25,7
26,7
27,7
28,3
29,3
30,3
31,3
32,3
32,8
33,1
33,4
33,5
33,6
33,9
34,9
35,9
36,3
36,9
37,3
37,8
38,7
38,8
38,9
39,9
40,8
41,8
42,8
42,9
43,6
43,8
43,9
44,8
44,9
45,4
45,5
45,6
45,8
45,9
46,4
46,8
46,9
47,4
47,5
47,6
47,8
47,9
48,7
49,1
49,6
49,9
50,1
50,6
50,11
51,7
51,11
52,11
53,7
53,11
54,7
54,11
55,11
56,11
57,4
57,11
58,7
58,11
59,6
59,9
60,1
60,4
60,6
60,8
60,9
60,10
61,1
61,4
61,8
61,10
62,1
62,4
62,6
62,8
62,10
63,3
63,9
64,3
65,3
66,3
67,3
68,3
69,6
69,9
70,3
70,4
70,6
70,7
70,8
70,9
70,10
71,4
71,5
71,6
71,8
71,9
71,10
72,8
73,2
74,2
74,4
75,2
76,2
77,2