activity_id,module_id
1,2
1,4
1,5
2,2
2,4
2,5
3,2
3,4
3,5
4,2
4,4
4,5
5,1
5,3
6,3
6,4
7,3
7,4
8,3
8,4
9,3
9,4
10,3
10,4
11,3
11,4
12,3
12,4
13,3
13,4
14,3
14,4
15,3
15,4
16,3
16,4
17,2
17,3
17,4
17,5
18,2
18,3
18,4
18,5
19,2
19,3
19,4
20,2
20,3
20,4
20,5
21,2
21,4
21,5
22,3
22,4
23,3
23,4
23,5
24,3
24,4
24,5
25,3
25,4
25,5
26,3
26,4
26,5
27,3
27,4
27,5
28,1
28,3
28,4
29,3
29,4
30,1
30,4
31,3
31,4
31,5
32,1
32,4
32,5
33,2
33,3
33,4
33,5
34,2
34,3
34,4
34,5
35,3
35,4
36,2
36,3
36,4
37,1
37,4
37,5
38,3
38,4
38,5
39,2
39,4
39,5
40,1
40,4
40,5
41,1
41,4
41,5
42,2
42,4
42,5
43,2
43,4
43,5
44,2
44,4
44,5
45,2
45,4
45,5
46,2
46,4
46,5
47,2
47,4
47,5
48,3
48,4
48,5
49,2
49,4
50,2
50,4
50,5
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,2
60,5
61,5
62,5
63,3
63,4
64,2
64,3
64,4
65,2
65,3
65,4
66,2
66,3
66,4
67,2
67,3
67,4
68,2
68,3
68,4
69,4
70,5
71,5
72,5
73,3
73,4
74,3
74,4
75,3
75,4
76,3
76,4
77,3
77,4